phrase,level
The,2
Rock,2
destined,2
21st,2
Century,2
``,2
Conan,2
'',2
splash,3
Arnold,2
Schwarzenegger,2
Jean-Claud,2
Van,2
Damme,2
Steven,2
Segal,2
gorgeously,3
elaborate,2
continuation,2
Lord,2
Rings,2
trilogy,2
huge,2
column,2
adequately,3
co-writer\/director,2
Peter,2
Jackson,2
expanded,2
vision,2
J.R.R.,2
Tolkien,2
Middle-earth,2
Singer\/composer,2
Bryan,2
Adams,2
contributes,2
slew,2
songs,2
--,2
hits,2
simply,2
intrusive,2
story,2
package,2
captures,2
intended,2
spirit,3
piece,2
You,2
America,2
plucky,2
British,2
eccentrics,1
hearts,3
gold,3
Yet,2
charming,4
Whether,2
enlightened,3
Derrida,2
lectures,2
undeniably,2
fascinating,3
playful,4
fellow,2
Just,2
labour,2
involved,2
creating,2
layered,3
richness,2
imagery,2
chiaroscuro,2
madness,2
astonishing,4
Part,2
charm,3
Satin,2
Rouge,2
avoids,2
humour,3
lightness,2
screenplay,2
ingeniously,4
constructed,2
Memento,2
Extreme,2
Ops,2
exceeds,3
expectations,2
Good,3
fun,4
action,2
acting,2
dialogue,2
pace,2
cinematography,2
Should,2
Pay,2
Nine,2
Bucks,2
This,2
Because,2
hear,2
suffering,1
Afghan,2
refugees,2
news,2
unaffected,2
Dramas,2
human,2
A,2
thunderous,3
ride,2
quiet,2
cadences,2
pure,4
finesse,3
shortage,1
dilutes,2
potency,2
respectable,3
Still,2
flick,2
host,2
excellent,4
sequences,2
Australian,2
actor\/director,2
John,2
Polson,2
award-winning,4
English,2
cinematographer,2
Giles,2
Nuttgens,2
terrific,4
effort,2
disguising,2
energy,3
innovation,3
walk,2
Girl,2
mixed,2
emotions,2
disapproval,1
Justine,2
combined,2
tinge,2
understanding,2
actions,2
Post,2
9\/11,2
philosophical,3
message,2
Personal,2
Freedom,4
First,3
palatable,2
Absorbing,3
character,2
study,2
Andr茅,2
Turpin,2
If,2
love,4
reading,2
and\/or,2
poetry,3
check,3
Frailty,2
written,3
simple,2
Goddammit,0
takes,2
meaning,2
Grenier,2
bringing,2
unforced,3
rapid-fire,2
delivery,2
Toback,2
Heidegger,2
Nietzsche-referencing,2
Sundance,2
Film,2
Festival,3
buzz-obsessed,1
fans,3
producers,2
descend,2
Utah,2
January,2
ferret,2
Next,2
Great,4
Thing,2
Tadpole,2
films,2
declared,2
Pretty,3
actors,2
fantastic,3
They,2
worth,2
trip,2
theatre,2
Taymor,2
utilizes,2
idea,2
Kahlo,2
living,2
breathing,2
movie,2
catapulting,3
artist,2
It,2
vividly,3
passion,2
Take,2
Care,3
My,2
Cat,2
honestly,3
nice,3
film,2
examination,2
adult,2
life,3
urban,2
South,2
Korea,2
minds,2
principals,2
life-affirming,3
vulgar,0
I,2
What,2
Empire,2
lacks,1
depth,2
heart,2
Light,2
silly,3
photographed,2
colour,2
But,2
tongue-in-cheek,3
preposterousness,1
For,2
Wilde,2
droll,2
whimsy,3
helps,2
Being,2
Earnest,3
overcome,2
weaknesses,1
Parker,2
creative,4
interference,2
...,2
Much,2
lies,2
utter,2
cuteness,3
Stuart,2
Margolo,2
Their,2
computer-animated,2
expressive,3
path,2
Ice,2
Age,2
closely,2
established,2
Warner,2
Bros.,2
giant,2
Chuck,2
Jones,2
died,1
