label,phrase
0.5,The
0.5,Rock
0.58333,destined
0.5,21st
0.5,Century
0.5,``
0.47222,Conan
0.5,''
0.61111,splash
0.5,Arnold
0.5,Schwarzenegger
0.5,Jean-Claud
0.43056,Van
0.5,Damme
0.5,Steven
0.5,Segal
0.79167,gorgeously
0.51389,elaborate
0.59722,continuation
0.5,Lord
0.55556,Rings
0.51389,trilogy
0.5,huge
0.5,column
0.63889,adequately
0.5,co-writer\/director
0.5,Peter
0.5,Jackson
0.56944,expanded
0.56944,vision
0.5,J.R.R.
0.5,Tolkien
0.5,Middle-earth
0.5,Singer\/composer
0.5,Bryan
0.5,Adams
0.59722,contributes
0.47222,slew
0.52778,songs
0.5,--
0.52778,hits
0.54167,simply
0.47222,intrusive
0.52778,story
0.5,package
0.55556,captures
0.52778,intended
0.61111,spirit
0.5,piece
0.5,You
0.58333,America
0.40278,plucky
0.55556,British
0.36111,eccentrics
0.76389,hearts
0.63889,gold
0.5,Yet
0.83333,charming
0.5,Whether
0.76389,enlightened
0.5,Derrida
0.5,lectures
0.58333,undeniably
0.72222,fascinating
0.83333,playful
0.5,fellow
0.5,Just
0.52778,labour
0.55556,involved
0.54167,creating
0.65278,layered
0.56944,richness
0.55556,imagery
0.51389,chiaroscuro
0.5,madness
0.81944,astonishing
0.5,Part
0.68056,charm
0.54167,Satin
0.5,Rouge
0.45833,avoids
0.65278,humour
0.58333,lightness
0.5,screenplay
0.86111,ingeniously
0.44444,constructed
0.55556,Memento
0.5,Extreme
0.5,Ops
0.68056,exceeds
0.51389,expectations
0.77778,Good
0.81944,fun
0.55556,action
0.58333,acting
0.5,dialogue
0.5,pace
0.51389,cinematography
0.5,Should
0.5,Pay
0.5,Nine
0.5,Bucks
0.5,This
0.5,Because
0.5,hear
0.36111,suffering
0.5,Afghan
0.44444,refugees
0.5,news
0.5,unaffected
0.5,Dramas
0.5,human
0.48611,A
0.625,thunderous
0.5,ride
0.47222,quiet
0.52778,cadences
0.90278,pure
0.66667,finesse
0.39583,shortage
0.44444,dilutes
0.5,potency
0.73611,respectable
0.5,Still
0.5,flick
0.5,host
0.91667,excellent
0.55556,sequences
0.5,Australian
0.5,actor\/director
0.5,John
0.5,Polson
0.875,award-winning
0.5,English
0.51389,cinematographer
0.5,Giles
0.5,Nuttgens
0.80556,terrific
0.52778,effort
0.45833,disguising
0.61111,energy
0.69444,innovation
0.5,walk
0.5,Girl
0.47222,mixed
0.51389,emotions
0.20833,disapproval
0.5,Justine
0.5,combined
0.5,tinge
0.55556,understanding
0.5,actions
0.5,Post
0.5,9\/11
0.66667,philosophical
0.5,message
0.5,Personal
0.88889,Freedom
0.66667,First
0.59722,palatable
0.65278,Absorbing
0.5,character
0.5,study
0.5,Andr茅
0.5,Turpin
0.5,If
0.88889,love
0.5,reading
0.5,and\/or
0.61111,poetry
0.65278,check
0.45833,Frailty
0.61111,written
0.55556,simple
0.11111,Goddammit
0.5,takes
0.51389,meaning
0.5,Grenier
0.5,bringing
0.66667,unforced
0.51389,rapid-fire
0.5,delivery
0.5,Toback
0.5,Heidegger
0.5,Nietzsche-referencing
0.55556,Sundance
0.5,Film
0.61111,Festival
0.33333,buzz-obsessed
0.63889,fans
0.5,producers
0.5,descend
0.5,Utah
0.5,January
0.5,ferret
0.5,Next
0.94444,Great
0.5,Thing
0.5,Tadpole
0.5,films
0.5,declared
0.72222,Pretty
0.56944,actors
0.76389,fantastic
0.5,They
0.58333,worth
0.54167,trip
0.5,theatre
0.5,Taymor
0.5,utilizes
0.5,idea
0.5,Kahlo
0.51389,living
0.5,breathing
0.52778,movie
0.65278,catapulting
0.5,artist
0.5,It
0.63889,vividly
0.58333,passion
0.5,Take
0.61111,Care
0.5,My
0.5,Cat
0.66667,honestly
0.73611,nice
0.5,film
0.5,examination
0.51389,adult
0.77778,life
0.55556,urban
0.5,South
0.5,Korea
0.5,minds
0.5,principals
0.66667,life-affirming
0.055556,vulgar
0.5,I
0.5,What
0.5,Empire
0.34722,lacks
0.51389,depth
0.5,heart
0.54167,Light
0.625,silly
0.5,photographed
0.52778,colour
0.5,But
0.66667,tongue-in-cheek
0.30556,preposterousness
0.5,For
0.5,Wilde
0.40278,droll
0.68056,whimsy
0.56944,helps
0.5,Being
0.61111,Earnest
0.5,overcome
0.27778,weaknesses
0.5,Parker
0.81944,creative
0.44444,interference
0.5,...
0.5,Much
0.44444,lies
0.44444,utter
0.75,cuteness
0.5,Stuart
0.5,Margolo
0.5,Their
0.5,computer-animated
0.70833,expressive
0.47222,path
0.5,Ice
0.5,Age
0.55556,closely
0.55556,established
0.5,Warner
0.5,Bros.
0.5,giant
0.56944,Chuck
0.5,Jones
0.36111,died
0.5,matter
0.5,weeks
0.5,release
0.61111,spiced
0.81944,humor
